type,evaluation_type,question,expected_answer
조건검색_가격범위,PASS_OR_FAIL,2025-01-31에 종가가 1만원 이상 5만원 이하인 종목을 모두 보여줘,"와이지엔터테인먼트, DI동일, 선익시스템, 동아에스티, 서울가스, 더블유게임즈, SK바이오사이언스, 현대홈쇼핑, 삼양통상, 두산밥캣, KT, 석경에이티, 넥스트바이오메디컬, 펌텍코리아, 컴투스, 현대건설우, 한샘, SPC삼립, 한전KPS, 에이피알, 한국화장품제조, 종근당홀딩스, 아이쓰리시스템, 효성, 삼성증권, 테크윙, LS에코에너지, 가온칩스, 쎄트렉아이, 삼양사"
조건검색_가격범위,PASS_OR_FAIL,2024-09-26에 종가가 3만원 이상 8만원 이하인 종목을 모두 보여줘,"미원화학, 경동인베스트, 삼양홀딩스, 신영증권, E1, 유니드, 한국금융지주, 한국화장품제조, 한국콜마, 케이아이엔엑스, 티앤엘, OCI홀딩스, 한국단자, 동아에스티, 씨에스윈드, CJ ENM, 경동나비엔, 골프존, 한전기술, 금호석유화학우, 코웨이, 두산로보틱스, 셀트리온제약, 롯데칠성우, 농심홀딩스, LX세미콘, CS홀딩스, 에스엠, 삼성전기우, F&F"
조건검색_등락률,PASS_OR_FAIL,2024-07-03에 등락률이 -10% 이하인 종목을 모두 보여줘,"메디콕스, 플레이그램, 하이젠알앤엠, 에이피알"
조건검색_가격범위,PASS_OR_FAIL,2024-10-14에 종가가 3만원 이상 8만원 이하인 종목을 모두 보여줘,"SK이노베이션우, 경동나비엔, 미원화학, HD현대, 케이아이엔엑스, 씨앤씨인터내셔널, LG, OCI, 삼양홀딩스, 펩트론, 미원홀딩스, 세방전지, 한국금융지주, 경동인베스트, 한국화장품제조, 코스메카코리아, E1, 동아에스티, 유니드, 한국단자, 한국콜마, 티앤엘, CS홀딩스, 골프존, HLB, OCI홀딩스, 에스엠, 농심홀딩스, 롯데칠성우, 금호석유화학우"
조건검색_가격범위,PASS_OR_FAIL,2024-10-18에 종가가 1만5천원 이상 3만5천원 이하인 종목을 모두 보여줘,"삼화콘덴서, 아모레퍼시픽우, 유진테크, 에스앤디, 만호제강, 에스엘, 유일로보틱스, 아이쓰리시스템, 국도화학, 위메이드, SK아이이테크놀로지, SK디스커버리, BYC, 코오롱인더, 동남합성, 큐로셀, 동원F&B, 에이직랜드, 자람테크놀로지, 알멕, 프로텍, 에스바이오메딕스, 휴메딕스, 삼화왕관, 브이티, 동원산업, 종근당바이오, JW중외제약우, SK디스커버리우, 한국피아이엠"
조건검색_가격범위,PASS_OR_FAIL,2024-10-21에 종가가 10만원 이상 20만원 이하인 종목을 모두 보여줘,"LG이노텍, HD한국조선해양, 하이브, HD현대중공업, SK하이닉스, 엔켐, SK가스, NAVER, 셀트리온, 녹십자, 메디톡스, 현대차2우B, 조흥, 현대차우, 현대차3우B, 이오테크닉스, 에코프로비엠, 세아제강지주, 유한양행, 대웅제약, LS ELECTRIC, LG생활건강우, 삼성에스디에스, SKC, 미원에스씨, SK, 신세계, 코스맥스, 현대오토에버, 대한제분"
조건검색_거래량절대값,PASS_OR_FAIL,2025-06-10에 거래량이 500만주 이상인 종목을 모두 보여줘,"이스트아시아홀딩스, 미스터블루, 우듬지팜, 메디콕스, 씨엑스아이, 다날, 일신바이오, 동양철관, 헝셩그룹, 핑거스토리, 일신석재, 와이투솔루션, HD현대인프라코어, 미투온, 삼성전자, 더즌, 좋은사람들, 우리기술투자, 링크솔루션, 엠에스오토텍, 로킷헬스케어, 한화시스템, 두산에너빌리티, 신성통상, 큐캐피탈"
조건검색_거래량변화율,PASS_OR_FAIL,2024-12-12에 거래량이 전날대비 500% 이상 증가한 종목을 모두 보여줘,"링크드, 디젠스, 천일고속, 금호전기, 아이티센피엔에스, 대창, 에어레인, 비에이치, 스타플렉스, 노머스, 코메론, 이지케어텍, 지에프씨생명과학, 대성산업, 우진플라임, OCI, 바텍, 덕산테코피아, 동양우, 코리아나"
조건검색_가격범위,PASS_OR_FAIL,2024-09-11에 종가가 5만원 이상 10만원 이하인 종목을 모두 보여줘,"SK바이오팜, 대한화섬, 대한유화, HD현대미포, 에스티팜, 한미반도체, 기아, 씨앤씨인터내셔널, 대주전자재료, 삼성생명, 에코프로머티, 조선선재, CJ4우(전환), 티씨케이, 엘앤에프, 미창석유, 코스메카코리아, 삼천리, 오리온, HLB, 한국기업평가, 경동인베스트, 리가켐바이오, 영원무역홀딩스, LG, 세방전지, 미원홀딩스, 나노신소재, 미원화학, 신영증권"
조건검색_등락률,PASS_OR_FAIL,2025-02-26에 등락률이 +7% 이상인 종목을 모두 보여줘,"바이온, 엠오티, 쎄노텍, 인피니트헬스케어, 비엘팜텍, 이지트로닉스, 카페24, 메가터치, 디와이디, 예림당, 금양, 대동기어, 에이텀, 우주일렉트로, 엔시트론, 아미코젠, 메디콕스, 세코닉스, 핑거, 아이빔테크놀로지, 삼화전자, 심텍, KG모빌리티, 이랜텍, 한울소재과학"
조건검색_등락률,PASS_OR_FAIL,2025-05-14에 등락률이 +15% 이상인 종목을 모두 보여줘,"플라즈맵, 유진로봇, 로보티즈, 대성파인텍, 한진칼우, HD현대에너지솔루션, 한진칼, SAMG엔터, 비비안, 파루, 메디콕스, 씨엔플러스, 두산2우B, 이노진, SK오션플랜트, 나우로보틱스, 노바렉스, 바이오솔루션, 킵스파마, 대한항공우, SDN, 프롬바이오, 지아이이노베이션, 비아이매트릭스"
조건검색_복합조건,PASS_OR_FAIL,2024-09-25에 등락률이 +2% 이상이면서 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"에스아이리소스, 헝셩그룹, 제일엠앤에스, 태성, 알멕, 크리스탈신소재, 삼성제약, 서울옥션, 한진칼, 케이씨피드, 푸드나무, 위메이드플레이, 빛과전자, 에코프로에이치엔, 이스트소프트"
조건검색_복합조건,PASS_OR_FAIL,2024-10-04에 등락률이 +3% 이상이면서 거래량이 전날대비 200% 이상 증가한 종목을 모두 보여줘,"인스코비, 코퍼스코리아, 중앙에너비스, 프리시젼바이오, 팬젠, 바이오인프라, 뱅크웨어글로벌, 와이바이오로직스, 대화제약, 케이티알파, 아이티센글로벌, SH에너지화학, NEW, 동양우, 오스코텍"
조건검색_KOSPI_가격범위,PASS_OR_FAIL,2024-10-11에 KOSPI 시장에서 종가가 1만원 이상 5만원 이하인 종목을 모두 보여줘,"더블유게임즈, KPX케미칼, 이수스페셜티케미컬, TCC스틸, 효성, LG전자우, 삼양통상, 삼성전자우, 롯데정밀화학, 사조대림, 더존비즈온, 현대백화점, 현대홈쇼핑, INVENI, 삼화전기, 호텔신라, 삼성증권, 샘표, 현대건설우, 지역난방공사"
조건검색_가격범위,PASS_OR_FAIL,2025-02-20에 종가가 5만원 이상 10만원 이하인 종목을 모두 보여줘,"CJ대한통운, 조선선재, 삼성생명, 동아쏘시오홀딩스, 기아, 에코프로머티, 삼성물산우B, 세아홀딩스, 펩트론, 엘앤에프, 삼천리, 빙그레, 미창석유, 영원무역홀딩스, 한국기업평가, 현대로템, 티씨케이, 신영증권, 코웨이, CJ4우(전환), 한진칼, HLB, KB금융, JYP Ent., LG전자, OCI홀딩스, 한국금융지주, 종근당, 에스티팜, 케이아이엔엑스"
조건검색_거래량절대값,PASS_OR_FAIL,2024-10-14에 거래량이 100만주 이상인 종목을 모두 보여줘,"LK삼양, 소노스퀘어, 티웨이홀딩스, 노을, 한국제지, 삼성전자, 티웨이항공, 예림당, 보락, 스페코, 에스와이스틸텍, 다산네트웍스, 무림페이퍼, 헝셩그룹, 제이씨현시스템, 아남전자, CNH, 코콤, 웅진, 웅진씽크빅, 한세예스24홀딩스, 서울반도체, 빅텍, 오가닉티코스메틱, KT밀리의서재"
조건검색_거래량변화율,PASS_OR_FAIL,2025-06-17에 거래량이 전날대비 200% 이상 증가한 종목을 모두 보여줘,"효성ITX, 램테크놀러지, 유투바이오, 핸디소프트, 링크제니시스, 피아이이, 대모, 서린바이오, 라닉스, 핀텔, 한빛레이저, 아시아경제, 신라섬유, 만호제강, 토니모리, 코리아써우, 심플랫폼, 엘브이엠씨홀딩스, 피엔티엠에스, 뱅크웨어글로벌"
조건검색_가격범위,PASS_OR_FAIL,2024-11-28에 종가가 1만원 이상 5만원 이하인 종목을 모두 보여줘,"삼양통상, 더블유게임즈, 포스코인터내셔널, 클래시스, SK바이오사이언스, KT, 삼성전자우, SPC삼립, 동원시스템즈, 삼성증권, 와이지엔터테인먼트, 한국화장품제조, 한전KPS, 스튜디오드래곤, 선익시스템, 효성, 컴투스, 성일하이텍, 현대건설우, KPX케미칼, 피엔티, 현대홈쇼핑, 한국가스공사, 현대백화점, 가온전선, 위메이드, 쎄트렉아이, LG전자우, 넥스트바이오메디컬, SK케미칼"
조건검색_거래량변화율,PASS_OR_FAIL,2025-03-21에 거래량이 전날대비 150% 이상 증가한 종목을 모두 보여줘,"진흥기업2우B, 앤디포스, 한주에이알티, 소프트센, 코퍼스코리아, NHN벅스, 엠젠솔루션, 베셀, 픽셀플러스, GS글로벌, 삼익THK, 상신전자, 아이씨디, DL우, THE E&M, 크라우드웍스, DI동일, 티엘비, 제이티, 윌비스"
조건검색_거래량절대값,PASS_OR_FAIL,2024-08-13에 거래량이 1000만주 이상인 종목을 모두 보여줘,"포니링크, 지에스이, 아이에이, 국영지앤엠, 메이슨캐피탈, 플루토스, 흥아해운, 한빛레이저, 신진에스엠, 오성첨단소재, 씨아이에스, 스페코, 캡스톤파트너스, 민테크, 소니드, 휴마시스, 삼기에너지솔루션즈, 우리바이오, KBI메탈, 삼성전자, 이브이첨단소재, 뱅크웨어글로벌, 오상자이엘, 에이프로젠, 한국ANKOR유전"
조건검색_등락률,PASS_OR_FAIL,2024-10-23에 등락률이 +5% 이상인 종목을 모두 보여줘,"드림어스컴퍼니, 아이큐어, 네이처셀, 프레스티지바이오파마, 샤페론, 특수건설, 삼기에너지솔루션즈, 한일단조, 삼화네트웍스, 라온피플, 한화비전, 펨트론, 바디텍메드, 모비데이즈, 네오셈, 레뷰코퍼레이션, 에치에프알, 한성크린텍, 한국파마, YG PLUS, 지누스, 야스, 유니셈, SG, 퍼시스"
조건검색_KOSDAQ_거래량,PASS_OR_FAIL,2024-10-14에 KOSDAQ 시장에서 거래량이 100만주 이상인 종목을 모두 보여줘,"LK삼양, 소노스퀘어, 노을, 예림당, 스페코, 에스와이스틸텍, 다산네트웍스, 헝셩그룹, 제이씨현시스템, CNH, 코콤, 서울반도체, 빅텍, 오가닉티코스메틱, KT밀리의서재, 컴퍼니케이, 세아메카닉스, 미스터블루, 지놈앤컴퍼니, 포니링크"
조건검색_거래량절대값,PASS_OR_FAIL,2025-04-28에 거래량이 100만주 이상인 종목을 모두 보여줘,"옴니시스템, 동양철관, 미스터블루, 영흥, 더즌, 대한제당, 이루온, LG헬로비전, 삼성중공업, 큐라티스, 모니터랩, 쎄크, 아톤, 한국정보인증, 시공테크, 한싹, 더블유씨피, 브릿지바이오테라퓨틱스, 자연과환경, 아이스크림에듀, 샌즈랩, 경남스틸, 성호전자, 우리로, 나인테크"
조건검색_거래량변화율,PASS_OR_FAIL,2025-02-28에 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"이화산업, 대주산업, 이노인스트루먼트, 양지사, 키다리스튜디오, 스튜디오미르, 탑코미디어, 삼지전자, 아이티센엔텍, 휴스틸, 쿠쿠홈시스, 엑스페릭스, 이엔셀, 씨큐브, 유니온, 금강공업우, 민테크, 한진칼우, 프럼파스트, 유라테크"
조건검색_등락률,PASS_OR_FAIL,2025-01-02에 등락률이 +10% 이상인 종목을 모두 보여줘,"형지I&C, 에스피시스템스, 에스비비테크, 하이젠알앤엠, 레인보우로보틱스, 동신건설, 한국첨단소재, 동원금속, 이랜시스, 진시스템, 두산로보틱스, 클로봇, 케이엔알시스템, CS, 일성건설, 모델솔루션, 이미지스, 유진로봇, 에스피지, 형지엘리트, 수젠텍, 코이즈, 파인텍, 아진엑스텍, 티로보틱스"
조건검색_KOSDAQ_가격범위,PASS_OR_FAIL,2024-09-30에 KOSDAQ 시장에서 종가가 10만원 이상 30만원 이하인 종목을 모두 보여줘,"휴젤, 솔브레인, 파크시스템스, 파마리서치, 메디톡스, 에코프로비엠, 엔켐, 이오테크닉스, 레인보우로보틱스, 삼천당제약, 대주전자재료, 에스티팜, SOOP"
조건검색_KOSDAQ_거래량,PASS_OR_FAIL,2025-03-10에 KOSDAQ 시장에서 거래량이 100만주 이상인 종목을 모두 보여줘,"엠디바이스, 피아이이, 대진첨단소재, 팬엔터테인먼트, 소니드, 스튜디오미르, 클로봇, 대동스틸, 케이씨피드, 현대ADM, 대화제약, TS트릴리온, NE능률, 투비소프트, 한빛레이저, 티에스넥스젠, 미래생명자원, 오리엔트정공, 케이엠제약, 이스트아시아홀딩스"
조건검색_거래량변화율,PASS_OR_FAIL,2025-05-28에 거래량이 전날대비 200% 이상 증가한 종목을 모두 보여줘,"파워넷, 포시에스, MDS테크, JW신약, 상상인증권, 코오롱모빌리티그룹우, 대보마그네틱, 애경케미칼, 비큐AI, 코오롱모빌리티그룹, 케이엠제약, 시지트로닉스, 온코크로스, 대한뉴팜, 자이글, 메가터치, KR모터스, JW홀딩스, 코리아써키트2우B, 자이에스앤디"
조건검색_거래량변화율,PASS_OR_FAIL,2024-11-04에 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"코오롱ENP, 레드캡투어, 노랑풍선, 코윈테크, 대한화섬, 피씨엘, 삼양홀딩스우, 모두투어, 동원시스템즈우, JW중외제약2우B, 참좋은여행, 동부건설우, 예스티, 녹십자홀딩스2우, 데이타솔루션, 이연제약, 노루홀딩스우, 쇼박스, 하나투어, 에코캡"
조건검색_등락률,PASS_OR_FAIL,2024-11-11에 등락률이 +20% 이상인 종목을 모두 보여줘,"앱트뉴로사이언스, 삼부토건, 범양건영, 케이엔더블유, DS단석, LK삼양, 엔투텍, 미래에셋벤처투자, 토모큐브, 비보존 제약, 팬젠"
조건검색_거래량변화율,PASS_OR_FAIL,2025-01-09에 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"한빛레이저, 다원넥스뷰, 까뮤이앤씨, 코칩, 아이씨디, 소프트센, 에이텀, SGA솔루션즈, 야스, 엔에스이엔엠, 소프트센우, 스타코링크, 아이컴포넌트, JW중외제약2우B, STX그린로지스, 원준, 씨유테크, 토모큐브, 삐아, 이노진"
조건검색_등락률,PASS_OR_FAIL,2025-06-23에 등락률이 -15% 이하인 종목을 모두 보여줘,조건에 맞는 종목 없음
조건검색_거래량변화율,PASS_OR_FAIL,2025-06-20에 거래량이 전날대비 500% 이상 증가한 종목을 모두 보여줘,"공구우먼, 코리아나, 한국화장품, 리더스코스메틱, 케이엔더블유, 닷밀, 데이타솔루션, 두산퓨얼셀1우, 조흥, 두산퓨얼셀2우B, 우리산업홀딩스, 에스퓨얼셀, 모아데이타, 오픈베이스, 케이엔알시스템, 바른손이앤에이, 만호제강, 유틸렉스, 한국화장품제조, 삐아"
조건검색_KOSDAQ_거래량변화,PASS_OR_FAIL,2024-12-03에 KOSDAQ 시장에서 거래량이 전날대비 200% 이상 증가한 종목을 모두 보여줘,"유비케어, 레이저옵텍, 삐아, YBM넷, SBI인베스트먼트, 알파녹스, 오에스피, 글로벌에스엠, 코스텍시스, 메이슨캐피탈, 헝셩그룹, 위드텍, 아이엠티, 나이벡, 국전약품"
조건검색_거래량변화율,PASS_OR_FAIL,2024-07-25에 거래량이 전날대비 150% 이상 증가한 종목을 모두 보여줘,"신라섬유, 빅솔론, 이엠넷, YTN, 코데즈컴바인, 양지사, 비케이홀딩스, 모비데이즈, 와이즈버즈, 플레이디, 다스코, 셀레믹스, 다산솔루에타, 케이티알파, 현대바이오랜드, 오브젠, 유화증권우, 듀오백, 드림어스컴퍼니, 한탑"
조건검색_거래량절대값,PASS_OR_FAIL,2024-10-07에 거래량이 100만주 이상인 종목을 모두 보여줘,"헝셩그룹, 인스코비, 코퍼스코리아, 삼성전자, 피델릭스, 디알텍, 슈어소프트테크, 아이비젼웍스, 오가닉티코스메틱, 씨엑스아이, 한화비전, DXVX, 제일일렉트릭, 스튜디오미르, 원준, 뱅크웨어글로벌, 우리기술, 퀀텀온, 중앙첨단소재, 이스트아시아홀딩스, 블루엠텍, 한빛레이저, 드림인사이트, 라이콤, 조일알미늄"
조건검색_KOSDAQ_거래량변화,PASS_OR_FAIL,2025-05-26에 KOSDAQ 시장에서 거래량이 전날대비 300% 이상 증가한 종목을 모두 보여줘,"에코볼트, 램테크놀러지, 그리티, 한빛레이저, 브이원텍, 피아이이, 엔젯, 셀루메드, 인크로스, 알파칩스, 대한뉴팜, 동일기연, 파인메딕스, 대화제약, 플루토스"
조건검색_등락률,PASS_OR_FAIL,2025-03-31에 등락률이 +3% 이상인 종목을 모두 보여줘,"윌비스, KD, 한솔PNS, 신라섬유, 온코닉테라퓨틱스, 형지글로벌, 와이즈버즈, 형지I&C, 제일약품, 디모아, 엘컴텍, 엑시온그룹, 모비데이즈, 육일씨엔에쓰, 에코글로우, 더테크놀로지, 유라클, 아이엠, 메지온, 플라즈맵, 바이오솔루션, 콜마홀딩스, 넥스턴바이오, 엑스큐어, 시너지이노베이션"
조건검색_등락률,PASS_OR_FAIL,2025-03-26에 등락률이 +3% 이상인 종목을 모두 보여줘,"형지I&C, 동신건설, 오리엔트정공, 이스타코, 디젠스, 노바텍, 오리엔트바이오, 위세아이텍, 에이텍, 일성건설, 형지엘리트, 에이텍모빌리티, 수산아이앤티, 코나아이, KD, 코이즈, 토탈소프트, 웹케시, CS, 카스, 이구산업, 동원금속, 주성코퍼레이션, 코난테크놀로지, 나라엠앤디"
