type,evaluation_type,question,expected_answer
단순조회_종가,PASS_OR_FAIL,오로스테크놀로지의 2024-11-28 종가는?,"14,380원"
단순조회_종가,PASS_OR_FAIL,삼성출판사의 2025-03-10 종가는?,"14,820원"
시장조회_KOSPI_rising_stocks,PASS_OR_FAIL,2024-12-04 KOSPI 시장에서 상승한 종목 수는?,173개
시장통계_거래대금,PASS_OR_FAIL,2024-07-18 전체 시장 거래대금은?,"22,268,019,809,778원"
시장조회_KOSDAQ_top_volume,PASS_OR_FAIL,2024-12-24 KOSDAQ 시장에서 거래량이 가장 많은 종목은?,"클로봇 (32,283,718주)"
단순조회_종가,PASS_OR_FAIL,제일테크노스의 2024-11-21 종가는?,"6,570원"
단순조회_종가,PASS_OR_FAIL,제우스의 2024-08-07 종가는?,"12,650원"
시장거래량순위_KOSPI,PASS_OR_FAIL,2025-04-29에서 KOSPI에서 거래량 많은 종목 10개는?,"동양, 대영포장, 태양금속, 평화산업, 한화오션, 와이투솔루션, LG헬로비전, 동양철관, 영흥, 삼성전자"
단순조회_종가,PASS_OR_FAIL,KOSPI에서 카프로의 2025-05-26 종가는?,"3,660원"
시장조회_KOSDAQ_top_volume,PASS_OR_FAIL,2025-04-04 KOSDAQ 시장에서 거래량이 가장 많은 종목은?,"자연과환경 (84,524,055주)"
단순조회_종가,PASS_OR_FAIL,동방의 2024-11-20 종가는?,"2,265원"
시장조회_KOSPI_rising_stocks,PASS_OR_FAIL,2024-07-30 KOSPI 시장에서 상승한 종목 수는?,209개
시장통계_상승종목수,PASS_OR_FAIL,2024-08-16에 상승한 종목은 몇 개인가?,1290개
시장통계_하락종목수,PASS_OR_FAIL,2024-07-29에 하락한 종목은 몇 개인가?,755개
가격조회_저가,PASS_OR_FAIL,CJ제일제당 우의 2025-05-31 저가은?,토요일 (저가 데이터 없음)
시장통계_거래대금,PASS_OR_FAIL,2024-12-04 전체 시장 거래대금은?,"19,591,751,303,722원"
시장통계_KOSPI지수,PASS_OR_FAIL,2024-11-21 KOSPI 지수는?,2480.63
가격조회_고가,PASS_OR_FAIL,키스트론의 2024-11-04 고가은?,해당 날짜 고가 데이터 없음
가격조회_시가,PASS_OR_FAIL,화승인더의 2024-09-04 시가은?,"3,895원"
시장거래량순위_KOSPI,PASS_OR_FAIL,2024-10-29에서 KOSPI에서 거래량 많은 종목 10개는?,"일신석재, 삼성전자, YG PLUS, 두산에너빌리티, 티웨이홀딩스, 한화비전, 티웨이항공, 갤럭시아에스엠, 에이프로젠, DS단석"
시장조회_KOSPI_top_volume,PASS_OR_FAIL,2024-07-01 KOSPI 시장에서 거래량이 가장 많은 종목은?,"일신석재 (31,625,424주)"
단순조회_거래량순위,PASS_OR_FAIL,2025-02-17에서 거래량 기준 상위 10개 종목은?,"원익홀딩스, 쓰리빌리언, 두산에너빌리티, 동국생명과학, 피아이이, 휴림로봇, 티에스넥스젠, 동방메디컬, LS네트웍스, 리튬포어스"
시장통계_하락종목수,PASS_OR_FAIL,2025-05-26에 하락한 종목은 몇 개인가?,878개
시장조회_KOSPI_highest_price,PASS_OR_FAIL,2025-02-15 KOSPI 시장에서 가장 비싼 종목은?,토요일 (KOSPI 최고가 종목 데이터 없음)
시장통계_상승종목수,PASS_OR_FAIL,2025-04-22에 상승한 종목은 몇 개인가?,1114개
단순조회_종가,PASS_OR_FAIL,KOSDAQ에서 코스메카코리아의 2025-02-26 종가는?,"42,750원"
시장통계_상승종목수,PASS_OR_FAIL,2025-06-27에 상승한 종목은 몇 개인가?,650개
단순조회_종가,PASS_OR_FAIL,KOSPI에서 NICE평가정보의 2024-07-19 종가는?,"10,640원"
단순조회_종가,PASS_OR_FAIL,WISCOM의 2025-01-06 종가는?,"2,125원"
단순조회_종가,PASS_OR_FAIL,보로노이의 2024-11-26 종가는?,"79,400원"
